prompt,uniqueness,image_similarity,text_similarity,hardness,mistakenness
Filepath starts with '/Users',N,N,N,N,N
On the 24th of the month,N,N,N,N,N
most similar to the first image created in 2022,N,Y,N,N,N
Predictions with confidence > 0.95,N,N,N,N,N
Most incorrect predictions of cats,N,N,N,N,Y
All labels with the 'error' tag,N,N,N,N,N
images with either a cat or a dog,N,N,N,N,N
predicted bounding boxes larger than 96**2 pixels,N,N,N,N,N
most unique incorrect predictions,Y,N,N,N,Y
13 most unique Images,Y,N,N,N,N
shuffle,N,N,N,N,N
Last 10 images,N,N,N,N,N
Rainiest images,N,N,Y,N,N
Most distinct,Y,N,N,N,N
Most mistaken samples with at least 3 predictions,N,N,N,N,Y
a boy playing with a dog,N,N,Y,N,N
Contains a cat and a dog prediction,N,N,N,N,N
15 most wrong predictions,N,N,N,N,Y
unique,Y,N,N,N,N
3 most unique,Y,N,N,N,N
wrong,N,N,N,N,Y
20 most unique incorrect predictions,Y,N,N,N,N
"2 most unique images that are similar to image with ID ""abc123""",Y,Y,N,N,N
least unique images,Y,N,N,N,N
"Least correct predictions from model ""model1""",N,N,N,N,Y
Cloudy or night,N,Y,N,N,N
Images that most resemble the first image,N,Y,N,N,N
"10 Most similar images to the third image, with sim2",N,Y,N,N,N
FP dog detections,N,N,N,N,N
Images with the most false negatives,N,N,N,N,N
Show the hardest false positives on validation split,N,N,N,Y,N
sort by sample hardness,N,N,N,Y,N
show the most difficult samples to classify,N,N,N,Y,N